Player,Team,Points,Cost,Roule
Player,Team,Points,Cost
Dunk,Brighton,97,4.5,DEF
Bruno,Brighton,84,4.5,DEF
Sterling,Chelsea,0,4.5,DEF
Souare,Crystal Palace,0,4.5,DEF
Hadergjonaj,Huddersfield,49,4.5,DEF
Zanka,Huddersfield,106,4.5,DEF
Gomez,Liverpool,86,4.5,DEF
Yedlin,Newcastle,82,4.5,DEF
Stephens,Southampton,56,4.5,DEF
Bauer,Stoke,40,4.5,DEF
Fernandez,Swansea,85,4.5,DEF
Foyth,Spurs,0,4.5,DEF
Wague,Watford,19,4.5,DEF
McAuley,West Brom,8,4.5,DEF
Holding,Arsenal,20,4.4,DEF
Schelotto,Brighton,20,4.4,DEF
Bong,Brighton,63,4.4,DEF
Lowton,Burnley,88,4.4,DEF
Fosu-Mensah,Crystal Palace,39,4.4,DEF
Tomkins,Crystal Palace,94,4.4,DEF
Kongolo,Huddersfield,28,4.4,DEF
Lowe,Huddersfield,58,4.4,DEF
Morgan,Leicester,61,4.4,DEF
Chilwell,Leicester,65,4.4,DEF
Alexander-Arnold,Liverpool,77,4.4,DEF
van der Hoorn,Swansea,74,4.4,DEF
Cathcart,Watford,12,4.4,DEF
Kabasele,Watford,67,4.4,DEF
Rice,West Ham,39,4.4,DEF
Francis,Bournemouth,56,4.3,DEF
Malone,Huddersfield,41,4.3,DEF
Simpson,Leicester,55,4.3,DEF
Moreno,Liverpool,52,4.3,DEF
Clark,Newcastle,64,4.3,DEF
Lejeune,Newcastle,55,4.3,DEF
Cameron,Stoke,33,4.3,DEF
Stafylidis,Stoke,6,4.3,DEF
Bartley,Swansea,5,4.3,DEF
Prodl,Watford,42,4.3,DEF
Britos,Watford,22,4.3,DEF
Kiko Femenia,Watford,65,4.3,DEF
Collins,West Ham,35,4.3,DEF
Mavropanos,Arsenal,4,4.2,DEF
Mings,Bournemouth,1,4.2,DEF
Suttner,Brighton,38,4.2,DEF
Taylor,Burnley,23,4.2,DEF
Jach,Crystal Palace,0,4.2,DEF
Delaney,Crystal Palace,1,4.2,DEF
Hefele,Huddersfield,1,4.2,DEF
Benalouane,Leicester,1,4.2,DEF
Dummett,Newcastle,46,4.2,DEF
Manquillo,Newcastle,49,4.2,DEF
Pied,Southampton,7,4.2,DEF
McQueen,Southampton,13,4.2,DEF
Kaboul,Watford,7,4.2,DEF
Gabr,West Brom,0,4.2,DEF
Ogbonna,West Ham,75,4.2,DEF
Byram,West Ham,5,4.2,DEF
Masuaku,West Ham,67,4.2,DEF
Long,Burnley,56,4.1,DEF
Kelly,Crystal Palace,34,4.1,DEF
Martina,Everton,55,4.1,DEF
Klavan,Liverpool,78,4.1,DEF
Bednarek,Southampton,22,4.1,DEF
Johnson,Stoke,5,4.1,DEF
Mariappa,Watford,56,4.1,DEF
Evra,West Ham,2,4.1,DEF
Osei-Tutu,Arsenal,0,4.0,DEF
Simpson,Bournemouth,1,4.0,DEF
Bardsley,Burnley,33,4.0,DEF
Chalobah,Chelsea,0,4.0,DEF
Garbutt,Everton,0,4.0,DEF
Holgate,Everton,37,4.0,DEF
Hughes,Leicester,0,4.0,DEF
Masterson,Liverpool,0,4.0,DEF
Adarabioyo,Man City,0,4.0,DEF
Edwards,Stoke,6,4.0,DEF
Wimmer,Stoke,19,4.0,DEF
Roberts,Swansea,7,4.0,DEF
Walker-Peters,Spurs,7,4.0,DEF
Zeegelaar,Watford,28,4.0,DEF
Mukena,Watford,0,4.0,DEF
Ferguson,West Brom,0,4.0,DEF
Jameson,West Brom,0,4.0,DEF
Pask,West Ham,0,4.0,DEF
Brad Smith,Bournemouth,0,3.9,DEF
Rosenior,Brighton,3,3.9,DEF
Goldson,Brighton,5,3.9,DEF
Kenny,Everton,50,3.9,DEF
Stankovic,Huddersfield,0,3.9,DEF
Gamez,Newcastle,9,3.9,DEF
Haidara,Newcastle,0,3.9,DEF
Mbemba,Newcastle,20,3.9,DEF
Rangel,Swansea,3,3.9,DEF
Hunemeier,Brighton,1,3.8,DEF
Sanchez,Man Utd,149,11.4,MID
Hazard,Chelsea,171,10.5,MID
Salah,Liverpool,292,10.5,MID
De Bruyne,Man City,203,10.3,MID
Eriksen,Spurs,197,9.7,MID
Mane,Liverpool,144,9.4,MID
Ozil,Arsenal,112,9.3,MID
Sterling,Man City,226,9.1,MID
Alli,Spurs,174,9.0,MID
Mahrez,Leicester,182,8.7,MID
Sane,Man City,176,8.6,MID
David Silva,Man City,169,8.3,MID
Son,Spurs,177,8.3,MID
Sigurdsson,Everton,96,8.0,MID
Pogba,Man Utd,137,7.9,MID
Martial,Man Utd,125,7.8,MID
Mkhitaryan,Arsenal,104,7.7,MID
Pedro,Chelsea,80,7.7,MID
Lucas Moura,Spurs,6,7.7,MID
Antonio,West Ham,62,7.4,MID
Barkley,Chelsea,1,7.3,MID
Lallana,Liverpool,12,7.3,MID
Bernardo Silva,Man City,109,7.2,MID
Zaha,Crystal Palace,126,7.1,MID
Arnautovic,West Ham,132,7.1,MID
Willian,Chelsea,129,7.0,MID
Cazorla,Arsenal,0,6.9,MID
Klaassen,Everton,6,6.9,MID
Ramsey,Arsenal,124,6.8,MID
Fabregas,Chelsea,89,6.8,MID
Mata,Man Utd,94,6.8,MID
Andre Ayew,Swansea,72,6.8,MID
Walcott,Everton,61,6.7,MID
Wijnaldum,Liverpool,82,6.6,MID
Lanzini,West Ham,91,6.6,MID
Bolasie,Everton,34,6.4,MID
Lamela,Spurs,39,6.3,MID
Tadic,Southampton,120,6.2,MID
Shaqiri,Stoke,152,6.1,MID
Yaya Tour̩,Man City,16,6.0,MID
Lingard,Man Utd,128,6.0,MID
Joao Mario,West Ham,44,6.0,MID
Izquierdo,Brighton,101,5.9,MID
Grob,Brighton,163,5.9,MID
Silva,Leicester,19,5.9,MID
Redmond,Southampton,69,5.9,MID
